Rank,Node,MessageSize,AverageTimePerExchange
25,nvf-004,2048,0.000002
25,nvf-004,4096,0.000004
26,nvf-004,2,0.000002
26,nvf-004,4,0.000000
26,nvf-004,8,0.000013
26,nvf-004,16,0.000021
26,nvf-004,32,0.000000
26,nvf-004,64,0.000000
26,nvf-004,128,0.000009
26,nvf-004,256,0.000002
26,nvf-004,512,0.000001
26,nvf-004,1024,0.000001
26,nvf-004,2048,0.000001
26,nvf-004,4096,0.000004
27,nvf-004,2,0.000002
27,nvf-004,4,0.000000
27,nvf-004,8,0.000023
27,nvf-004,16,0.000011
27,nvf-004,32,0.000000
27,nvf-004,64,0.000000
27,nvf-004,128,0.000007
27,nvf-004,256,0.000002
27,nvf-004,512,0.000002
27,nvf-004,1024,0.000001
27,nvf-004,2048,0.000001
27,nvf-004,4096,0.000005
28,nvf-004,2,0.000003
28,nvf-004,4,0.000014
28,nvf-004,8,0.000010
28,nvf-004,16,0.000006
28,nvf-004,32,0.000006
28,nvf-004,64,0.000001
28,nvf-004,128,0.000008
28,nvf-004,256,0.000001
28,nvf-004,512,0.000002
28,nvf-004,1024,0.000001
28,nvf-004,2048,0.000002
28,nvf-004,4096,0.000005
29,nvf-004,2,0.000002
29,nvf-004,4,0.000013
29,nvf-004,8,0.000000
29,nvf-004,16,0.000022
29,nvf-004,32,0.000000
29,nvf-004,64,0.000001
29,nvf-004,128,0.000007
29,nvf-004,256,0.000001
29,nvf-004,512,0.000002
29,nvf-004,1024,0.000002
29,nvf-004,2048,0.000003
29,nvf-004,4096,0.000069
30,nvf-004,2,0.000003
30,nvf-004,4,0.000106
30,nvf-004,8,0.000000
30,nvf-004,16,0.000004
30,nvf-004,32,0.000001
30,nvf-004,64,0.000000
30,nvf-004,128,0.000001
30,nvf-004,256,0.000001
30,nvf-004,512,0.000002
30,nvf-004,1024,0.000002
30,nvf-004,2048,0.000003
30,nvf-004,4096,0.000101
31,nvf-004,2,0.000205
31,nvf-004,4,0.000001
31,nvf-004,8,0.000001
31,nvf-004,16,0.000001
31,nvf-004,32,0.000001
31,nvf-004,64,0.000001
31,nvf-004,128,0.000001
31,nvf-004,256,0.000001
31,nvf-004,512,0.000001
31,nvf-004,1024,0.000001
31,nvf-004,2048,0.000002
31,nvf-004,4096,0.000004
32,nvf-005,2,0.000207
32,nvf-005,4,0.000001
32,nvf-005,8,0.000002
32,nvf-005,16,0.000001
32,nvf-005,32,0.000001
32,nvf-005,64,0.000001
32,nvf-005,128,0.000002
32,nvf-005,256,0.000003
32,nvf-005,512,0.000011
32,nvf-005,1024,0.000005
32,nvf-005,2048,0.000019
32,nvf-005,4096,0.000035
33,nvf-005,2,0.000102
33,nvf-005,4,0.000105
33,nvf-005,8,0.000001
33,nvf-005,16,0.000002
33,nvf-005,32,0.000001
33,nvf-005,64,0.000001
33,nvf-005,128,0.000001
33,nvf-005,256,0.000002
33,nvf-005,512,0.000013
33,nvf-005,1024,0.000001
33,nvf-005,2048,0.000005
33,nvf-005,4096,0.000021
34,nvf-005,2,0.000002
34,nvf-005,4,0.000101
34,nvf-005,8,0.000105
34,nvf-005,16,0.000001
34,nvf-005,32,0.000002
34,nvf-005,64,0.000001
34,nvf-005,128,0.000001
34,nvf-005,256,0.000001
34,nvf-005,512,0.000012
34,nvf-005,1024,0.000004
34,nvf-005,2048,0.000001
34,nvf-005,4096,0.000006
35,nvf-005,2,0.000003
35,nvf-005,4,0.000012
35,nvf-005,8,0.000088
35,nvf-005,16,0.000105
35,nvf-005,32,0.000001
35,nvf-005,64,0.000002
35,nvf-005,128,0.000001
35,nvf-005,256,0.000001
35,nvf-005,512,0.000011
35,nvf-005,1024,0.000002
35,nvf-005,2048,0.000004
35,nvf-005,4096,0.000003
36,nvf-005,2,0.000002
36,nvf-005,4,0.000000
36,nvf-005,8,0.000012
36,nvf-005,16,0.000088
36,nvf-005,32,0.000105
36,nvf-005,64,0.000001
36,nvf-005,128,0.000002
36,nvf-005,256,0.000001
36,nvf-005,512,0.000012
36,nvf-005,1024,0.000001
36,nvf-005,2048,0.000001
36,nvf-005,4096,0.000005
37,nvf-005,2,0.000002
37,nvf-005,4,0.000000
37,nvf-005,8,0.000000
37,nvf-005,16,0.000012
37,nvf-005,32,0.000088
37,nvf-005,64,0.000105
37,nvf-005,128,0.000001
37,nvf-005,256,0.000002
37,nvf-005,512,0.000010
37,nvf-005,1024,0.000003
37,nvf-005,2048,0.000001
37,nvf-005,4096,0.000003
38,nvf-005,2,0.000002
38,nvf-005,4,0.000001
38,nvf-005,8,0.000000
38,nvf-005,16,0.000022
38,nvf-005,32,0.000000
38,nvf-005,64,0.000078
38,nvf-005,128,0.000105
38,nvf-005,256,0.000001
38,nvf-005,512,0.000007
38,nvf-005,1024,0.000005
38,nvf-005,2048,0.000003
38,nvf-005,4096,0.000004
39,nvf-005,2,0.000002
39,nvf-005,4,0.000008
39,nvf-005,8,0.000000
39,nvf-005,16,0.000018
39,nvf-005,32,0.000000
39,nvf-005,64,0.000006
39,nvf-005,128,0.000069
39,nvf-005,256,0.000105
39,nvf-005,512,0.000006
39,nvf-005,1024,0.000003
39,nvf-005,2048,0.000005
39,nvf-005,4096,0.000005
40,nvf-005,2,0.000002
40,nvf-005,4,0.000013
40,nvf-005,8,0.000000
40,nvf-005,16,0.000013
40,nvf-005,32,0.000000
40,nvf-005,64,0.000007
40,nvf-005,128,0.000004
40,nvf-005,256,0.000063
40,nvf-005,512,0.000106
40,nvf-005,1024,0.000005
40,nvf-005,2048,0.000003
40,nvf-005,4096,0.000007
41,nvf-005,2,0.000003
41,nvf-005,4,0.000012
41,nvf-005,8,0.000000
41,nvf-005,16,0.000019
41,nvf-005,32,0.000002
41,nvf-005,64,0.000001
41,nvf-005,128,0.000008
41,nvf-005,256,0.000001
41,nvf-005,512,0.000058
41,nvf-005,1024,0.000106
41,nvf-005,2048,0.000005
41,nvf-005,4096,0.000004
42,nvf-005,2,0.000002
42,nvf-005,4,0.000000
42,nvf-005,8,0.000012
42,nvf-005,16,0.000021
42,nvf-005,32,0.000000
42,nvf-005,64,0.000000
42,nvf-005,128,0.000008
42,nvf-005,256,0.000001
42,nvf-005,512,0.000002
42,nvf-005,1024,0.000057
42,nvf-005,2048,0.000106
42,nvf-005,4096,0.000006
43,nvf-005,2,0.000003
43,nvf-005,4,0.000001
43,nvf-005,8,0.000025
43,nvf-005,16,0.000008
43,nvf-005,32,0.000000
43,nvf-005,64,0.000000
43,nvf-005,128,0.000000
43,nvf-005,256,0.000007
43,nvf-005,512,0.000003
43,nvf-005,1024,0.000001
43,nvf-005,2048,0.000057
43,nvf-005,4096,0.000107
44,nvf-005,2,0.000003
44,nvf-005,4,0.000013
44,nvf-005,8,0.000013
44,nvf-005,16,0.000000
44,nvf-005,32,0.000008
44,nvf-005,64,0.000000
44,nvf-005,128,0.000000
44,nvf-005,256,0.000001
44,nvf-005,512,0.000009
44,nvf-005,1024,0.000003
44,nvf-005,2048,0.000001
44,nvf-005,4096,0.000056
45,nvf-005,2,0.000003
45,nvf-005,4,0.000012
45,nvf-005,8,0.000000
45,nvf-005,16,0.000013
45,nvf-005,32,0.000000
45,nvf-005,64,0.000008
45,nvf-005,128,0.000001
45,nvf-005,256,0.000000
45,nvf-005,512,0.000012
45,nvf-005,1024,0.000001
45,nvf-005,2048,0.000001
45,nvf-005,4096,0.000005
46,nvf-005,2,0.000003
46,nvf-005,4,0.000000
46,nvf-005,8,0.000011
46,nvf-005,16,0.000013
46,nvf-005,32,0.000002
46,nvf-005,64,0.000001
46,nvf-005,128,0.000006
46,nvf-005,256,0.000001
46,nvf-005,512,0.000011
46,nvf-005,1024,0.000001
46,nvf-005,2048,0.000001
46,nvf-005,4096,0.000005
47,nvf-005,2,0.000002
47,nvf-005,4,0.000001
47,nvf-005,8,0.000000
47,nvf-005,16,0.000026
47,nvf-005,32,0.000001
47,nvf-005,64,0.000000
47,nvf-005,128,0.000001
47,nvf-005,256,0.000006
47,nvf-005,512,0.000010
47,nvf-005,1024,0.000002
47,nvf-005,2048,0.000001
47,nvf-005,4096,0.000004
48,nvf-005,2,0.000002
48,nvf-005,4,0.000000
48,nvf-005,8,0.000027
48,nvf-005,16,0.000000
48,nvf-005,32,0.000000
48,nvf-005,64,0.000005
48,nvf-005,128,0.000001
48,nvf-005,256,0.000002
48,nvf-005,512,0.000002
48,nvf-005,1024,0.000007
48,nvf-005,2048,0.000002
48,nvf-005,4096,0.000005
49,nvf-005,2,0.000002
49,nvf-005,4,0.000013
49,nvf-005,8,0.000012
49,nvf-005,16,0.000002
49,nvf-005,32,0.000000
49,nvf-005,64,0.000007
49,nvf-005,128,0.000006
49,nvf-005,256,0.000001
49,nvf-005,512,0.000003
49,nvf-005,1024,0.000002
49,nvf-005,2048,0.000003
49,nvf-005,4096,0.000005
50,nvf-005,2,0.000003
50,nvf-005,4,0.000013
50,nvf-005,8,0.000000
50,nvf-005,16,0.000018
50,nvf-005,32,0.000001
50,nvf-005,64,0.000002
50,nvf-005,128,0.000008
50,nvf-005,256,0.000000
50,nvf-005,512,0.000003
50,nvf-005,1024,0.000003
50,nvf-005,2048,0.000001
50,nvf-005,4096,0.000005
51,nvf-005,2,0.000002
51,nvf-005,4,0.000000
51,nvf-005,8,0.000013
51,nvf-005,16,0.000021
51,nvf-005,32,0.000000
51,nvf-005,64,0.000000
51,nvf-005,128,0.000007
51,nvf-005,256,0.000001
51,nvf-005,512,0.000003
51,nvf-005,1024,0.000002
51,nvf-005,2048,0.000003
51,nvf-005,4096,0.000005
52,nvf-005,2,0.000002
52,nvf-005,4,0.000000
52,nvf-005,8,0.000025
52,nvf-005,16,0.000009
52,nvf-005,32,0.000000
52,nvf-005,64,0.000000
52,nvf-005,128,0.000001
52,nvf-005,256,0.000007
52,nvf-005,512,0.000008
52,nvf-005,1024,0.000001
52,nvf-005,2048,0.000002
52,nvf-005,4096,0.000005
53,nvf-005,2,0.000002
53,nvf-005,4,0.000014
53,nvf-005,8,0.000011
53,nvf-005,16,0.000000
53,nvf-005,32,0.000009
53,nvf-005,64,0.000000
53,nvf-005,128,0.000007
53,nvf-005,256,0.000007
53,nvf-005,512,0.000001
53,nvf-005,1024,0.000001
53,nvf-005,2048,0.000002
53,nvf-005,4096,0.000005
54,nvf-005,2,0.000003
54,nvf-005,4,0.000008
54,nvf-005,8,0.000000
54,nvf-005,16,0.000018
54,nvf-005,32,0.000001
54,nvf-005,64,0.000002
54,nvf-005,128,0.000008
54,nvf-005,256,0.000005
54,nvf-005,512,0.000002
54,nvf-005,1024,0.000001
54,nvf-005,2048,0.000001
54,nvf-005,4096,0.000005
55,nvf-005,2,0.000006
55,nvf-005,4,0.000001
55,nvf-005,8,0.000008
55,nvf-005,16,0.000021
55,nvf-005,32,0.000000
55,nvf-005,64,0.000000
55,nvf-005,128,0.000008
55,nvf-005,256,0.000002
55,nvf-005,512,0.000004
55,nvf-005,1024,0.000001
55,nvf-005,2048,0.000001
55,nvf-005,4096,0.000004
56,nvf-005,2,0.000003
56,nvf-005,4,0.000005
56,nvf-005,8,0.000023
56,nvf-005,16,0.000006
56,nvf-005,32,0.000000
56,nvf-005,64,0.000000
56,nvf-005,128,0.000001
56,nvf-005,256,0.000007
56,nvf-005,512,0.000003
56,nvf-005,1024,0.000003
56,nvf-005,2048,0.000001
56,nvf-005,4096,0.000004
