Rank,Node,MessageSize,AverageTimePerExchange
54,nvf-005,64,0.000005
54,nvf-005,128,0.000005
54,nvf-005,256,0.000006
54,nvf-005,512,0.000006
54,nvf-005,1024,0.000010
54,nvf-005,2048,0.000021
54,nvf-005,4096,0.000038
55,nvf-005,2,0.000308
55,nvf-005,4,0.000005
55,nvf-005,8,0.000004
55,nvf-005,16,0.000004
55,nvf-005,32,0.000004
55,nvf-005,64,0.000005
55,nvf-005,128,0.000005
55,nvf-005,256,0.000006
55,nvf-005,512,0.000006
55,nvf-005,1024,0.000010
55,nvf-005,2048,0.000021
55,nvf-005,4096,0.000038
56,nvf-005,2,0.000309
56,nvf-005,4,0.000005
56,nvf-005,8,0.000003
56,nvf-005,16,0.000004
56,nvf-005,32,0.000004
56,nvf-005,64,0.000005
56,nvf-005,128,0.000005
56,nvf-005,256,0.000006
56,nvf-005,512,0.000006
56,nvf-005,1024,0.000010
56,nvf-005,2048,0.000021
56,nvf-005,4096,0.000038
57,nvf-005,2,0.000309
57,nvf-005,4,0.000005
57,nvf-005,8,0.000003
57,nvf-005,16,0.000004
57,nvf-005,32,0.000004
57,nvf-005,64,0.000005
57,nvf-005,128,0.000005
57,nvf-005,256,0.000006
57,nvf-005,512,0.000006
57,nvf-005,1024,0.000010
57,nvf-005,2048,0.000021
57,nvf-005,4096,0.000038
58,nvf-005,2,0.000309
58,nvf-005,4,0.000004
58,nvf-005,8,0.000003
58,nvf-005,16,0.000004
58,nvf-005,32,0.000004
58,nvf-005,64,0.000005
58,nvf-005,128,0.000005
58,nvf-005,256,0.000006
58,nvf-005,512,0.000006
58,nvf-005,1024,0.000010
58,nvf-005,2048,0.000020
58,nvf-005,4096,0.000038
59,nvf-005,2,0.000310
59,nvf-005,4,0.000004
59,nvf-005,8,0.000003
59,nvf-005,16,0.000004
59,nvf-005,32,0.000004
59,nvf-005,64,0.000005
59,nvf-005,128,0.000005
59,nvf-005,256,0.000006
59,nvf-005,512,0.000006
59,nvf-005,1024,0.000010
59,nvf-005,2048,0.000021
59,nvf-005,4096,0.000038
60,nvf-005,2,0.000309
60,nvf-005,4,0.000004
60,nvf-005,8,0.000003
60,nvf-005,16,0.000004
60,nvf-005,32,0.000004
60,nvf-005,64,0.000005
60,nvf-005,128,0.000005
60,nvf-005,256,0.000006
60,nvf-005,512,0.000006
60,nvf-005,1024,0.000010
60,nvf-005,2048,0.000020
60,nvf-005,4096,0.000039
